# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
peo;et;vanapärsia
nb;et;norra bokmål
nd;et;põhjandebele
ne;et;nepali
znd;et;zande
cus;et;muu kuši keel
ng;et;ndonga
jpr;et;juudipärsia
kpe;et;kpelle
nl;et;hollandi
nyn;et;nkole
nym;et;njamvesi
jv;et;jaava
myv;et;ersa
nyo;et;njoro
afh;et;afrihili
him;et;himtšali
hil;et;hiligainoni
myn;et;maia keeled
kj;et;ambo
tvl;et;tuvalu
ki;et;kikuju
kmb;et;mbundu
kg;et;kongo
inc;et;muu India
hit;et;heti
ka;et;gruusia
sla;et;muu slaavi
nzi;et;nzima
bej;et;bedža
kw;et;korni
ky;et;kirgiisi
ks;et;kašmiiri
ku;et;kurdi
kv;et;komi
ber;et;berberi
ko;et;korea
ine;et;muu indoeuroopa
inh;et;inguši
tut;et;muu Altai
kr;et;kanuri
kk;et;kasahhi
bem;et;bemba
kl;et;grööni
km;et;khmeeri
kn;et;kannada
li;et;limburgi
tum;et;tumbuka
tup;et;tupii keeled
afa;et;muu afroaasia
lg;et;ganda
la;et;ladina
lb;et;letseburgi
hr;et;horvaadi
mwr;et;marvari
wal;et;volamo
ht;et;haiti
wak;et;vakaši keeled
snk;et;soninke
hu;et;ungari
bho;et;bhodžpuri
xal;et;kalmõki
mwl;et;miranda
hi;et;hindi
ho;et;motu
war;et;varai
was;et;vašo
id;et;indoneesia
ia;et;interlingua
ig;et;ibo
ie;et;interlingue
hz;et;herero
hy;et;armeenia
ady;et;adõgee
smn;et;Inari saami
ilo;et;iloko
is;et;islandi
it;et;itaalia
iu;et;inuktituti
smj;et;Lule saami
ii;et;Sichuani jii
ach;et;akoli
ik;et;injupiaki
sms;et;koltasaami
ace;et;atšehi
io;et;ido
ada;et;adangme
sma;et;lõunasaami
smi;et;muu saami
dyu;et;djula
ja;et;jaapani
xh;et;koosa
pon;et;poonpei
lol;et;mongo
moh;et;mohoogi
wo;et;volofi
cmc;et;tšami keeled
mos;et;more
wa;et;vallooni
loz;et;lozi
vi;et;vietnami
syr;et;süüria
tsi;et;tšimši keeled
rup;et;aromuuni
nwc;et;vananevari
vo;et;volapüki
uz;et;usbeki
ve;et;venda
fur;et;friuuli
uk;et;ukraina
ug;et;uiguuri
ewo;et;evondo
ur;et;urdu
ty;et;tahiti
tt;et;tatari
tw;et;tvii
hmn;et;hmongi
gmh;et;keskülemsaksa
doi;et;dogri
to;et;tonga
tmh;et;tamašeki
tn;et;tsvana
nub;et;Nuubia keeled
tl;et;tagalogi
ts;et;tsonga
tr;et;türgi
cop;et;kopti
ssa;et;muu Niiluse-Sahara
tg;et;tadžiki
te;et;telugu
tk;et;türkmeeni
ti;et;tigrinja
th;et;tai
ta;et;tamili
su;et;sunda
sv;et;rootsi
ss;et;svaasi
cpf;et;muud prantsuspõhjalised kreool- ja pidžinkeeled
st;et;lõunasotho
cpe;et;muud inglispõhjalised kreool- ja pidžinkeeled
lua;et;lulua
oto;et;otomi keeled
sw;et;suahiili
sl;et;sloveeni
sk;et;slovaki
sn;et;šona
sm;et;samoa
cpp;et;muud portugalipõhjalised kreool- ja pidžinkeeled
so;et;somaali
sr;et;serbia
sq;et;albaania
sd;et;sindhi
ota;et;osmanitürgi
sc;et;sardiinia
se;et;põhjasaami
sh;et;serbia-horvaadi
sg;et;sango
si;et;singali
goh;et;vanaülemsaksa
dum;et;keskhollandi
nso;et;pedi
sa;et;sanskriti
zun;et;sunji
gon;et;gondi
gor;et;gorontalo
ru;et;vene
got;et;gooti
dua;et;duala
rw;et;ruanda
car;et;kariibi
ro;et;rumeenia
ypk;et;jupiki keeled
cau;et;muu Kaukaasia
rn;et;rundi
rm;et;retoromaani
tog;et;tšitonga
en_US;et;inglise (Ameerika Ühendriigid)
iro;et;irokeesi keeled
pra;et;praakriti keeled
suk;et;sukuma
hsb;et;ülemsorbi
sus;et;susu
cad;et;kado
sux;et;sumeri
zxx;et;mittekeeleline
dra;et;muu draviidi keel
qu;et;ketšua
es_ES;et;hispaania (Hispaania)
cai;et;muu Kesk-Ameerika indiaani
crh;et;krimmitatari
grb;et;grebo
mus;et;maskogi
tpi;et;uusmelaneesia
crp;et;muud kreool- ja pidžinkeeled
grc;et;vanakreeka
mul;et;mitu keelt
mun;et;munda keel
frm;et;keskprantsuse
nqo;et;nkoo
fro;et;vanaprantsuse
ira;et;muu Iraani
frs;et;idafriisi
frr;et;põhjafriisi
csb;et;kašuubi
pro;et;vanaprovansi
pt;et;portugali
dsb;et;alamsorbi
jrb;et;juudiaraabia
ps;et;puštu
tai;et;muu tai keel
sad;et;sandave
tig;et;tigree
fon;et;foni
sah;et;jakuudi
sai;et;muu Lõuna-Ameerika indiaani
sal;et;sališi keeled
sam;et;Samaaria aramea
kbd;et;kabardi-tšerkessi
umb;et;umbundu
en_GB;et;inglise (Suurbritannia)
arc;et;aramea
arp;et;arapaho
dgr;et;dogribi
arn;et;araukaani
bra;et;bradži
kaw;et;kaavi
gsw;et;alemanni
arw;et;aravaki
kar;et;kareni
nog;et;nogai
art;et;muu tehiskeel
kam;et;kamba
non;et;vanapõhjala
mga;et;keskiiri
und;et;määramata
elx;et;eelami
kac;et;katšini
kab;et;kabiili
kaa;et;karakalpaki
sat;et;santali
sas;et;sasaki
tiv;et;tivi
tkl;et;tokelau
pt_BR;et;portugali (Brasiilia)
apa;et;apatši keeled
gwi;et;gvitšini
osa;et;oseidži
btk;et;bataki
cel;et;muu keldi
del;et;delavari
den;et;sleivi
lez;et;lesgi
ceb;et;sebu
min;et;minangkabau
hup;et;hupa
tli;et;tlingiti
enm;et;keskinglise
bua;et;burjaadi
tlh;et;klingoni
mis;et;üksikkeeled
mic;et;mikmaki
bug;et;bugi
tem;et;temne
sit_NP;et;muu Hiina-Tiibeti (Nepal)
chb;et;tšibtša
egy;et;muinasegiptuse
de_AT;et;saksa (Austria)
awa;et;avadhi
chy;et;šaieeni
chg;et;tšagatai
chk;et;tšuugi
mkh;et;muu moni-khmeeri
cho;et;tšokto
chp;et;tšipevai
chm;et;mari
chn;et;tšinuki žargoon
tet;et;tetumi
ter;et;tereno
chr;et;tšerokii
zh;et;hiina
fil;et;filipino
ast;et;astuuria
za;et;tšuangi
mni;et;manipuri
din;et;dinka
fiu;et;muu soomeugri
zu;et;suulu
mno;et;manobo keeled
vot;et;vadja
uga;et;ugariti
mnc;et;mandžu
ath;et;atapaski keeled
nic;et;muu Nigeri-Kordofani
nia;et;niasi
byn;et;bilini
de_CH;et;saksa (Šveits)
niu;et;niue
eka;et;ekadžuki
aus;et;Austraalia keeled
yo;et;joruba
yi;et;jidiši
fr;eu;frantsesera
de;eu;alemanera
fr_CH;eu;frantsesera (Suitza)
fr_CA;eu;frantsesera (Kanada)
eu;eu;euskara
en;eu;ingelera
es;eu;espainiera
en_CA;eu;ingelera (Kanada)
it;eu;italiera
ja;eu;japoniera
ru;eu;errusiera
en_US;eu;ingelera (Ameriketako Estatu Batuak)
es_ES;eu;espainiera (Espainia)
pt;eu;portugalera
pt_BR;eu;portugalera (Brasil)
zh;eu;txinera
de_CH;eu;alemanera (Suitza)
zh_Hant;fa;چینی (هان سنتی)
fy;fa;فریزی غربی
gd;fa;گیلی اسکاتلندی
ga;fa;ایرلندی
shn;fa;شانی
fj;fa;فیجیایی
ff;fa;فولایی
fi;fa;فنلاندی
fr;fa;فرانسوی
fo;fa;فارویی
zh_Hans;fa;چینی (هان ساده‌شده)
udm;fa;اودمورتی
sga;fa;ایرلندی باستان
he;fa;عبری
ha;fa;هوسیایی
sgn;fa;زبان نشانه‌ای
gn;fa;گوارانی
gil;fa;گیلبرتی
gl;fa;گالیسیایی
ain;fa;آینو
gv;fa;مانی
bik;fa;بیکولی
gu;fa;گجراتی
iba;fa;آیبن
bin;fa;بینی
dz;fa;جونخایی
de;fa;آلمانی
mai;fa;مایدیلی
fr_CH;fa;فرانسوی (سوئیس)
mak;fa;ماکاسار
mad;fa;مادورایی
mag;fa;ماگاهیایی
map;fa;آسترونیزیایی
fr_CA;fa;فرانسوی (کانادا)
mas;fa;ماسایی
wen;fa;زبان صُربی
nl_BE;fa;هلندی (بلژیک)
man;fa;ماندینگویی
sid;fa;سیدامویی
eu;fa;باسکی
khi;fa;زبان خواسی
fa;fa;فارسی
kha;fa;خازیایی
sit;fa;زبان چین و تبتی
new;fa;نواریایی
ee;fa;اوه‌ای
el;fa;یونانی
sio;fa;زبان سویی
zen;fa;زناگا
eo;fa;اسپرانتو
en;fa;انگلیسی
et;fa;استونیایی
kho;fa;ختنی
es;fa;اسپانیایی
efi;fa;افیکی
ca;fa;کاتالونیایی
hai;fa;هایدایی
root;fa;ریشه
haw;fa;هاوائیایی
bs;fa;بوسنیایی
br;fa;برتانیایی
bn;fa;بنگالی
bo;fa;تبتی
bm;fa;بامبارایی
anp;fa;آنگیکا
bg;fa;بلغاری
bh;fa;بیهاری
bi;fa;بیسلاما
be;fa;بلوروسی
bnt;fa;بانتویی
da;fa;دانمارکی
ang;fa;انگلیسی باستان
nds;fa;آلمانی سفلی
mdf;fa;مکشایی
fat;fa;فانتیایی
dak;fa;داکوتایی
cy;fa;ویلزی
cv;fa;چوواشی
fan;fa;فانکی
cu;fa;اسلاوی کلیسایی
gez;fa;گی‌ئزی
cs;fa;چکی
mdr;fa;ماندار
cr;fa;کریایی
dar;fa;دارگوا
co;fa;کورسی
kfo;fa;کورو
jbo;fa;لوجبان
day;fa;دایاک
ch;fa;چامورویی
sco;fa;اسکاتلندی
gem;fa;زبان ژرمنی
ce;fa;چچنی
scn;fa;سیسیلی
nap;fa;ناپلی
es_419;fa;اسپانیایی (امریکای لاتین و کارائیب)
rap;fa;راپانویی
rar;fa;راروتونگایی
nah;fa;ناواتلی
nai;fa;زبان سرخپوستی امریکای شمالی
lad;fa;لادینو
lah;fa;لاهندا
pau;fa;پالائویی
lam;fa;لامبا
men;fa;منده‌ای
en_AU;fa;انگلیسی (استرالیا)
en_CA;fa;انگلیسی (کانادا)
alg;fa;زبان آلگونکینی
az;fa;ترکی آذربایجانی
paa;fa;زبان پاپوایی
ay;fa;آیمارایی
ba;fa;باشغیری
pag;fa;پانگاسینانی
ale;fa;آلئوتی
as;fa;آسامی
pal;fa;پهلوی
ar;fa;عربی
pap;fa;پاپیامنتو
av;fa;آواری
pam;fa;پامپانگایی
ak;fa;آکان
raj;fa;راجستانی
yap;fa;یاپی
am;fa;امهری
yao;fa;یائویی
aa;fa;آفاری
zap;fa;زاپوتکی
ab;fa;آبخازی
vai;fa;ویایی
sem;fa;زبان سامی
akk;fa;آکدی
sel;fa;سلکوپی
ae;fa;اوستایی
af;fa;آفریکانس
nr;fa;انده‌بله‌ای جنوبی
krc;fa;قره‌چایی‐بالکاری
no;fa;نروژی
nn;fa;نرس جدید نروژی
gba;fa;گبایایی
ny;fa;نیانجایی
nv;fa;ناواهویی
pt_PT;fa;پرتغالی (پرتغال)
oc;fa;اوکیتایی
lui;fa;لویسنو
kut;fa;کوتنی
luo;fa;لوئویی
lun;fa;لوندایی
om;fa;اورومویی
lus;fa;لوشه‌ای
phn;fa;فنیقی
kum;fa;کومیکی
oj;fa;اوجیبوایی
phi;fa;زبان فیلیپینی
tyv;fa;تووایی
ban;fa;بالیایی
os;fa;آسی
bal;fa;بلوچی
rom;fa;رومانویی
or;fa;اوریه‌ای
son;fa;سونغایی
bad;fa;باندایی
ijo;fa;ایجویی
gaa;fa;گایی
kro;fa;کرویی
roa;fa;زبان رومیایی
sog;fa;سغدی
pa;fa;پنجابی
gay;fa;گایو
kru;fa;کوروخی
pl;fa;لهستانی
bat;fa;زبان بالتیکی
bas;fa;باسایی
pi;fa;پالی
lo;fa;لائوسی
ln;fa;لینگالا
lv;fa;لتونیایی
lu;fa;لوبایی‐کاتانگا
lt;fa;لیتوانیایی
srr;fa;سریری
kok;fa;کنکانی
mg;fa;مالاگاسیایی
mh;fa;مارشالی
mk;fa;مقدونی
ml;fa;مالایالامی
mi;fa;مائوریایی
mn;fa;مغولی
mo;fa;مولداویایی
mr;fa;مراتی
mt;fa;مالتی
sr_Latn;fa;صربی (لاتینی)
ms;fa;مالزیایی
my;fa;برمه‌ای
na;fa;نائورویی
peo;fa;فارسی باستان
nb;fa;بوکسمال نروژی
nd;fa;انده‌بله‌ای شمالی
ne;fa;نپالی
znd;fa;زانده‌ای
cus;fa;زبان کوشی
ng;fa;ندونگایی
jpr;fa;فارسی یهودی
kpe;fa;کپله‌ای
nl;fa;هلندی
nyn;fa;نیانکوله‌ای
jv;fa;جاوه‌ای
myv;fa;ارزیایی
nyo;fa;نیورویی
afh;fa;آفریهیلی
him;fa;هیماچالی
hil;fa;هیلی‌گاینونی
myn;fa;زبان مایایی
kj;fa;کوانیاما
tvl;fa;تووالویی
ki;fa;کیکویویی
kmb;fa;کیمبوندویی
kg;fa;کنگویی
inc;fa;زبان هندیک
hit;fa;هیتی
ka;fa;گرجی
sla;fa;زبان اسلاوی
nzi;fa;نزیمایی
bej;fa;بجایی
kw;fa;کرنوالی
ky;fa;قرقیزی
ks;fa;کشمیری
ku;fa;کردی
ckb;fa;سورانی کردی 
kv;fa;کومیایی
ber;fa;بربری
ko;fa;کره‌ای
ine;fa;زبان هند و اروپایی
inh;fa;اینگوشی
tut;fa;زبان آلتاییک
kr;fa;کانوریایی
kk;fa;قزاقی
bem;fa;بمبایی
kl;fa;گرینلندی
km;fa;خمری
kn;fa;کاناده‌ای
li;fa;لیمبورگی
tum;fa;تومبوکایی
tup;fa;زبان توپیایی
afa;fa;زبان افریقا و آسیایی
lg;fa;گاندایی
la;fa;لاتینی
lb;fa;لوگزامبورگی
hr;fa;کرواتی
mwr;fa;مارواری
wal;fa;والامو
ht;fa;هائیتیایی
wak;fa;زبان واکاشی
snk;fa;سونینکه‌ای
hu;fa;مجاری
bho;fa;بوجپوری
xal;fa;قلموقی
hi;fa;هندی
ho;fa;هیری موتو
war;fa;وارایی
was;fa;واشویی
id;fa;اندونزیایی
ia;fa;میان‌زبان
ig;fa;ایگبویی
ie;fa;بین زبانی
hz;fa;هریرویی
hy;fa;ارمنی
ady;fa;آدیجیایی
smn;fa;سامی ایناری
ilo;fa;ایلوکویی
is;fa;ایسلندی
it;fa;ایتالیایی
iu;fa;اینوکتیتوت
smj;fa;سامی لول
ii;fa;یی سیچوان
ach;fa;آچولیایی
ik;fa;اینوپیک
sms;fa;سامی اسکالت
ace;fa;آچئی
io;fa;ایدو
ada;fa;آدانگمه‌ای
sma;fa;سامی جنوبی
dyu;fa;دایولایی
ja;fa;ژاپنی
xh;fa;خوسایی
lol;fa;مونگویی
moh;fa;موهاکی
wo;fa;ولوفی
syc;fa;سریانی کلاسیک
mos;fa;ماسیایی
wa;fa;والونی
loz;fa;لوزیایی
vi;fa;ویتنامی
syr;fa;سریانی
tsi;fa;تسیم‌شیانی
nwc;fa;نواریایی کلاسیک
vo;fa;ولاپوک
uz;fa;ازبکی
ve;fa;وندایی
fur;fa;فریولیایی
uk;fa;اوکراینی
ug;fa;اویغوری
ewo;fa;اواندو
ur;fa;اردو
ty;fa;تاهیتیایی
tt;fa;تاتاری
tw;fa;توی‌یایی
hmn;fa;همونگ
gmh;fa;آلمانی علیای میانه
doi;fa;دوگری
to;fa;تونگایی
tmh;fa;تاماشقی
tn;fa;تسوانایی
nub;fa;زبان نوبیایی
tl;fa;تاگالوگی
ts;fa;تسونگایی
tr;fa;ترکی استانبولی
cop;fa;قبطی
ssa;fa;زبان نیلی و صحرایی
tg;fa;تاجیکی
te;fa;تلوگویی
tk;fa;ترکمنی
ti;fa;تیگرینیایی
th;fa;تایلندی
ta;fa;تامیلی
su;fa;سوندایی
sv;fa;سوئدی
cpf;fa;کریول یا پیجین مبتنی بر فرانسوی
st;fa;سوتویی جنوبی
cpe;fa;کریول یا پیجین مبتنی بر انگلیسی
lua;fa;لوبایی‐لولوا
oto;fa;زبان اتومیایی
sw;fa;سواحلی
sl;fa;اسلووینیایی
sk;fa;اسلواکی
sn;fa;شونایی
sm;fa;ساموآیی
cpp;fa;کریول یا پیجین مبتنی بر پرتغالی
so;fa;سومالیایی
sr;fa;صربی
sq;fa;آلبانیایی
sd;fa;سندی
ota;fa;ترکی عثمانی
sc;fa;ساردینیایی
se;fa;سامی شمالی
sh;fa;صرب و کرواتی
sg;fa;سانگویی
si;fa;سینهالی
goh;fa;آلمانی علیای باستان
dum;fa;هلندی میانه
nso;fa;سوتویی شمالی
sa;fa;سنسکریت
zun;fa;زونیایی
gon;fa;گوندی
gor;fa;گورونتالو
ru;fa;روسی
got;fa;گاتیک
dua;fa;دوآلایی
rw;fa;کینیارواندایی
car;fa;کاریبی
ro;fa;رومانیایی
ypk;fa;زبان یوپیکی
cau;fa;زبان قفقازی
rn;fa;روندیایی
rm;fa;رتو‐رومیایی
tog;fa;تونگایی نیاسا
en_US;fa;انگلیسی (ایالات متحدهٔ امریکا)
iro;fa;زبان ایروکوایی
pra;fa;زبان پراکریتی
suk;fa;سوکومایی
hsb;fa;صُربی علیا
sus;fa;سوسویی
cad;fa;کادویی
sux;fa;سومری
dra;fa;زبان دراویدی
qu;fa;کچوایی
es_ES;fa;اسپانیایی (اسپانیا)
cai;fa;زبان سرخپوستی امریکای مرکزی
crh;fa;ترکی کریمه
grb;fa;گریبویی
mus;fa;کریکی
crp;fa;کریول یا پیجین
grc;fa;یونانی کهن
mul;fa;چندین زبان
mun;fa;زبان موندایی
frm;fa;فرانسوی میانه
fro;fa;فرانسوی باستان
ira;fa;زبان ایرانی
frs;fa;فریزی شرقی
frr;fa;فریزی شمالی
csb;fa;کاشوبی
pt;fa;پرتغالی
dsb;fa;صُربی سفلی
jrb;fa;عربی یهودی
ps;fa;پشتو
tai;fa;زبان تایی
sad;fa;سانداوه‌ای
tig;fa;تیگره‌ای
fon;fa;فونی
sah;fa;یاقوتی
sai;fa;زبان سرخپوستی امریکای جنوبی
sal;fa;زبان سالیشی
kbd;fa;کاباردینی
umb;fa;امبندویی
en_GB;fa;انگلیسی (بریتانیا)
arc;fa;آرامی
arp;fa;آراپاهویی
dgr;fa;دوگریب
arn;fa;آروکانیایی
bra;fa;براج
kaw;fa;کاوی
zza;fa;زازایی
gsw;fa;آلمانی سوئیسی
arw;fa;آراواکی
kar;fa;کارنی
nog;fa;نغایی
art;fa;زبان ساختگی
kam;fa;کامبایی
kaj;fa;جو
non;fa;نرس باستان
mga;fa;ایرلندی میانه
und;fa;زبان نامشخص یا نامعتبر
elx;fa;عیلامی
kac;fa;کاچینی
kab;fa;قبایلی
kaa;fa;قره‌قالپاقی
sat;fa;سانتالی
sas;fa;ساساک
tiv;fa;تیوی
tkl;fa;توکلوی
pt_BR;fa;پرتغالی (برزیل)
apa;fa;زبان آپاچیایی
gwi;fa;گویچ این
osa;fa;اوسیجی
btk;fa;باتاکی
cel;fa;زبان سلتی
del;fa;دلاواری
lez;fa;لزگی
ceb;fa;سبویی
min;fa;مینانگ‌کابویی
hup;fa;هوپا
tli;fa;تلین‌گیتی
enm;fa;انگلیسی میانه
bua;fa;بوریاتی
tlh;fa;کلینگون
mis;fa;زبان متفرقه
mic;fa;میکماکی
bug;fa;بوگیایی
tem;fa;تیمنه‌ای
sit_NP;fa;زبان چین و تبتی (نپال)
chb;fa;چیبچا
egy;fa;مصری کهن
de_AT;fa;آلمانی (اتریش)
chy;fa;شایانی
chg;fa;چاگاتایی
chk;fa;چوکزی
mkh;fa;زبان مون‌خمری
cho;fa;چوکتویی
chp;fa;چیپه‌ویه‌ای
chm;fa;ماریایی
tet;fa;تتومی
ter;fa;ترنو
chr;fa;چروکیایی
zh;fa;چینی
fil;fa;فیلیپینی
za;fa;چوانگی
mni;fa;مانیپوری
din;fa;دینکایی
fiu;fa;زبان فین و اوگرایی
zu;fa;زولویی
mno;fa;زبان مانوبو
vot;fa;وتیک
uga;fa;اوگاریتی
mnc;fa;مانچویی
ath;fa;زبان آتاپاسکایی
nia;fa;نیاس
byn;fa;بلین
de_CH;fa;آلمانی (سوئیس)
niu;fa;نیویی
eka;fa;اکاجوک
aus;fa;زبان استرالیایی
yo;fa;یوروبایی
yi;fa;یدی
zh_Hant;fi;kiina (kiinalainen perinteinen han)
fy;fi;länsifriisi
gd;fi;gaeli
ga;fi;iiri
shn;fi;shan
fj;fi;fidži
ff;fi;fulani
fi;fi;suomi
fr;fi;ranska
fo;fi;fääri
zh_Hans;fi;kiina (kiinalainen yksinkertaistettu han)
udm;fi;udmurtti
sga;fi;muinaisiiri
he;fi;heprea
ha;fi;hausa
sgn;fi;viittomakieli
gn;fi;guarani
gil;fi;kiribati
gl;fi;galicia
ain;fi;ainu
gv;fi;manx
bik;fi;bikol
gu;fi;gudžarati
iba;fi;iban
bin;fi;bini
dv;fi;divehi
dz;fi;dzongkha
de;fi;saksa
mai;fi;maithili
fr_CH;fi;ranska (Sveitsi)
mak;fi;makassar
mad;fi;madura
mag;fi;magahi
map;fi;austronesialainen kieli
fr_CA;fi;ranska (Kanada)
mas;fi;maasai
wen;fi;sorbin kieli
nl_BE;fi;hollanti (Belgia)
man;fi;mandingo
sid;fi;sidamo
eu;fi;baski
khi;fi;khoisan-kieli
fa;fi;farsi
kha;fi;khasi
bla;fi;mustajalka
sit;fi;sinotiibetiläinen kieli
new;fi;newari
ee;fi;ewe
el;fi;kreikka
sio;fi;sioux-kieli
zen;fi;zenaga
eo;fi;esperanto
en;fi;englanti
et;fi;viro
kho;fi;khotani
es;fi;espanja
efi;fi;efik
ca;fi;katalaani
hai;fi;haida
root;fi;juuri
haw;fi;havaiji
bs;fi;bosnia
br;fi;bretoni
zbl;fi;blisskieli
bn;fi;bengali
bo;fi;tiibet
bm;fi;bambara
anp;fi;angika
bg;fi;bulgaria
bh;fi;bihari
bi;fi;bislama
be;fi;valkovenäjä
bnt;fi;bantukieli
da;fi;tanska
ang;fi;muinaisenglanti
nds;fi;alasaksa
mdf;fi;mokša
fat;fi;fanti
dak;fi;dakota
cy;fi;kymri
cv;fi;tšuvassi
fan;fi;fang
cu;fi;kirkkoslaavi
gez;fi;ge’ez
cs;fi;tšekki
mdr;fi;mandar
cr;fi;cree
dar;fi;dargi
co;fi;korsika
kfo;fi;norsunluurannikonkoro
jbo;fi;lojban
day;fi;dajakki
ch;fi;tšamorro
sco;fi;skotti
gem;fi;germaaninen kieli
ce;fi;tšetšeeni
scn;fi;sisilia
nap;fi;napoli
es_419;fi;espanja (Latinalainen Amerikka ja Karibia)
rap;fi;rapanui
kcg;fi;tyap
rar;fi;rarotonga
nah;fi;nahuatl
nai;fi;pohjoisamerikkalainen intiaanikieli
lad;fi;ladino
lah;fi;lahnda
pau;fi;palau
alt;fi;altai
lam;fi;lamba
men;fi;mende
en_AU;fi;englanti (Australia)
en_CA;fi;englanti (Kanada)
alg;fi;algonkin-kieli
az;fi;azeri
paa;fi;papualaiskieli
ay;fi;aimara
ba;fi;baškiiri
pag;fi;pangasinan
ale;fi;aleutti
as;fi;assami
pal;fi;pahlavi
ar;fi;arabia
pap;fi;papiamentu
av;fi;avaari
pam;fi;pampanga
ak;fi;akan
raj;fi;radžastani
yap;fi;japi
am;fi;amhara
an;fi;aragonia
yao;fi;jao
aa;fi;afar
zap;fi;sapoteekki
ab;fi;abhaasi
sem;fi;seemiläinen kieli
akk;fi;akkadi
sel;fi;selkuppi
ae;fi;avesta
af;fi;afrikaans
nr;fi;etelä-ndebele
krc;fi;karatšai-balkaari
no;fi;norja
nn;fi;norjan nynorsk
gba;fi;gbaja
ny;fi;njandža
nv;fi;navajo
pt_PT;fi;portugali (Portugali)
oc;fi;oksitaani
lui;fi;luiseño
kut;fi;kutenai
lun;fi;lunda
om;fi;oromo
lus;fi;lusai
phn;fi;foinikia
kum;fi;kumykki
oj;fi;odžibwa
phi;fi;filippiiniläinen kieli
tyv;fi;tuva
ban;fi;bali
os;fi;osseetti
bal;fi;belutši
bai;fi;bamileke-kieli
rom;fi;romani
or;fi;orija
son;fi;songhai
bad;fi;banda
ijo;fi;idžo
gaa;fi;ga
kro;fi;kru-kieli
roa;fi;romaaninen kieli
sog;fi;sogdi
pa;fi;pandžabi
gay;fi;gajo
kru;fi;kurukh
pl;fi;puola
bat;fi;balttilainen kieli
bas;fi;basa
krl;fi;karjala
pi;fi;paali
lo;fi;lao
ln;fi;lingala
lv;fi;latvia
lu;fi;katanganluba
lt;fi;liettua
srr;fi;serer
srn;fi;sranan
kos;fi;kosrae
kok;fi;konkani
mg;fi;malagassi
mh;fi;marshall
mk;fi;makedonia
ml;fi;malajalam
mi;fi;maori
mn;fi;mongoli
mo;fi;moldavia
mr;fi;marathi
mt;fi;malta
sr_Latn;fi;serbia (latinalainen)
ms;fi;malaiji
my;fi;burma
na;fi;nauru
peo;fi;muinaispersia
nb;fi;norjan bokmål
nd;fi;pohjois-ndebele
ne;fi;nepali
znd;fi;zande
cus;fi;kuušilainen kieli
ng;fi;ndonga
jpr;fi;juutalaispersia
kpe;fi;kpelle
nl;fi;hollanti
nyn;fi;nyankole
nym;fi;nyamwezi
jv;fi;jaava
myv;fi;ersä
nyo;fi;nyoro
afh;fi;afrihili
him;fi;himatšali
hil;fi;hiligaino
myn;fi;maya-kieli
kj;fi;kuanjama
tvl;fi;tuvalu
ki;fi;kikuju
kmb;fi;kimbundu
kg;fi;kongo
inc;fi;indoarjalainen kieli
hit;fi;heetti
ka;fi;georgia
sla;fi;slaavilainen kieli
nzi;fi;nzima
bej;fi;bedža
kw;fi;korni
ky;fi;kirgiisi
ks;fi;kašmiri
ku;fi;kurdi
kv;fi;komi
ber;fi;berberikieli
ko;fi;korea
ine;fi;indoeurooppalainen kieli
inh;fi;inguuši
tut;fi;altailainen kieli
kr;fi;kanuri
kk;fi;kazakki
bem;fi;bemba
kl;fi;kalaallisut
km;fi;khmer
kn;fi;kannada
li;fi;limburg
tum;fi;tumbuka
tup;fi;tupi-kieli
afa;fi;afro-aasialainen kieli
lg;fi;ganda
la;fi;latina
lb;fi;luxemburg
hr;fi;kroatia
mwr;fi;marwari
wal;fi;walamo
ht;fi;haiti
wak;fi;wakash-kieli
snk;fi;soninke
hu;fi;unkari
bho;fi;bhodžpuri
xal;fi;kalmukki
mwl;fi;mirandeesi
hi;fi;hindi
ho;fi;hiri-motu
war;fi;waray
was;fi;washo
id;fi;indonesia
ia;fi;interlingua
ig;fi;igbo
ie;fi;interlingue
hz;fi;herero
hy;fi;armenia
ady;fi;adyge
smn;fi;inarinsaame
ilo;fi;iloko
is;fi;islanti
it;fi;italia
iu;fi;inuktitut
smj;fi;luulajansaame
ii;fi;sichuanin-yi
ach;fi;atšoli
ik;fi;inupiatun
sms;fi;koltansaame
ace;fi;aceh
io;fi;ido
ada;fi;adangme
sma;fi;eteläsaame
smi;fi;saamelaiskieli
dyu;fi;djula
ja;fi;japani
xh;fi;xhosa
pon;fi;pohnpei
lol;fi;mongo
moh;fi;mohawk
wo;fi;wolof
syc;fi;muinaissyyria
cmc;fi;tšam-kieli
mos;fi;mossi
wa;fi;valloni
loz;fi;lozi
vi;fi;vietnam
syr;fi;syyria
tsi;fi;tsimši
rup;fi;aromania
nwc;fi;klassinen newari
vo;fi;volapük
uz;fi;uzbekki
ve;fi;venda
fur;fi;friuli
uk;fi;ukraina
ug;fi;uiguuri
ewo;fi;ewondo
ur;fi;urdu
ty;fi;tahiti
tt;fi;tataari
tw;fi;twi
hmn;fi;hmong
gmh;fi;keskiyläsaksa
doi;fi;dogri
to;fi;tongantonga
tmh;fi;tamašek
